"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","28","0","","0"
"0","Cart functionality","0","Cart management","1","0","Remove item from cart","0"
"0","Cart functionality","0","Cart management","1","0","Cart state persistence","0"
