"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","951","productDetailsView()","","Fri Aug 01 12:06:16 GMT 2025","passed","Fri Aug 01 12:06:17 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","967","sortProductsByPriceAscending()","","Fri Aug 01 12:06:18 GMT 2025","passed","Fri Aug 01 12:06:19 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","1174","longValueInUsernameField()","","Fri Aug 01 12:06:42 GMT 2025","passed","Fri Aug 01 12:06:43 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","1013","proceedToCheckout()","","Fri Aug 01 12:06:38 GMT 2025","passed","Fri Aug 01 12:06:39 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","1025","addMultipleItemsToCart()","","Fri Aug 01 12:06:17 GMT 2025","passed","Fri Aug 01 12:06:18 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"Verify that you can remove items from the Cart via Inventory page","1199","removeFromCartViaInventoryPage()","","Fri Aug 01 12:06:13 GMT 2025","passed","Fri Aug 01 12:06:15 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
"","946","browserWindowResizing()","","Fri Aug 01 12:06:44 GMT 2025","passed","Fri Aug 01 12:06:45 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","1141","checkoutFormValidation()","","Fri Aug 01 12:06:23 GMT 2025","passed","Fri Aug 01 12:06:24 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","1122","cartStatePersistsAcrossNavigation()","","Fri Aug 01 12:06:25 GMT 2025","passed","Fri Aug 01 12:06:27 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","1334","cancelFromOverviewPage()","","Fri Aug 01 12:06:39 GMT 2025","passed","Fri Aug 01 12:06:41 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","5862","Successful login as performance glitch user","","Fri Aug 01 12:06:29 GMT 2025","passed","Fri Aug 01 12:06:35 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","834","Unsuccessful login with non-existent user","","Fri Aug 01 12:06:28 GMT 2025","passed","Fri Aug 01 12:06:29 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"Verify that the added item's amount to the cart is not lost after logout and re-login actions","1970","cartPersistAfterLogOut()","","Fri Aug 01 12:06:11 GMT 2025","passed","Fri Aug 01 12:06:13 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","cartPersistAfterLogOut"
"","11255","Successful login with valid credentials","","Fri Aug 01 12:05:56 GMT 2025","passed","Fri Aug 01 12:06:07 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
