"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1505","Logout from application","","Fri Aug 01 12:47:38 GMT 2025","passed","Fri Aug 01 12:47:39 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","1054","addMultipleItemsToCart()","","Fri Aug 01 12:47:45 GMT 2025","passed","Fri Aug 01 12:47:46 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","684","Unsuccessful login with empty fields","","Fri Aug 01 12:47:58 GMT 2025","passed","Fri Aug 01 12:47:59 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","997","proceedToCheckout()","","Fri Aug 01 12:48:08 GMT 2025","passed","Fri Aug 01 12:48:09 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","1130","longValueInUsernameField()","","Fri Aug 01 12:48:11 GMT 2025","passed","Fri Aug 01 12:48:12 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","834","Unsuccessful login with non-existent user","","Fri Aug 01 12:47:57 GMT 2025","passed","Fri Aug 01 12:47:58 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"Verify that removing one item updates the cart correctly","1126","removeOneItemFromCart()","","Fri Aug 01 12:47:56 GMT 2025","passed","Fri Aug 01 12:47:57 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","920","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Fri Aug 01 12:47:47 GMT 2025","passed","Fri Aug 01 12:47:48 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","5858","Successful login as performance glitch user","","Fri Aug 01 12:47:59 GMT 2025","passed","Fri Aug 01 12:48:05 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","810","loginWithSpacesInUsernameBeforeAndAfter()","","Fri Aug 01 12:48:10 GMT 2025","passed","Fri Aug 01 12:48:11 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","1366","cancelFromOverviewPage()","","Fri Aug 01 12:48:09 GMT 2025","passed","Fri Aug 01 12:48:10 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"Verify that the added item's amount to the cart is not lost after logout and re-login actions","2001","cartPersistAfterLogOut()","","Fri Aug 01 12:47:40 GMT 2025","passed","Fri Aug 01 12:47:42 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","cartPersistAfterLogOut"
"","1011","sortProductsByNameDescending()","","Fri Aug 01 12:47:43 GMT 2025","passed","Fri Aug 01 12:47:44 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","1011","productDetailsView()","","Fri Aug 01 12:47:44 GMT 2025","passed","Fri Aug 01 12:47:45 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
