"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","967","Unsuccessful login with locked user","","Mon Aug 04 06:57:43 GMT 2025","passed","Mon Aug 04 06:57:44 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"","2621","totalPriceWithTaxIsCalculatedCorrectly()","","Mon Aug 04 06:57:57 GMT 2025","passed","Mon Aug 04 06:57:59 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"Verify that you can remove items from the Cart via Inventory page","1152","removeFromCartViaInventoryPage()","","Mon Aug 04 06:57:49 GMT 2025","passed","Mon Aug 04 06:57:51 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
"","1037","Remove item from cart","","Mon Aug 04 06:58:12 GMT 2025","passed","Mon Aug 04 06:58:13 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"Verify that removing one item updates the cart correctly","1120","removeOneItemFromCart()","","Mon Aug 04 06:58:03 GMT 2025","passed","Mon Aug 04 06:58:04 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","1276","proceedToCheckoutStep2()","","Mon Aug 04 06:58:13 GMT 2025","passed","Mon Aug 04 06:58:15 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","1591","Logout from application","","Mon Aug 04 06:57:45 GMT 2025","passed","Mon Aug 04 06:57:46 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","1135","longValueInUsernameField()","","Mon Aug 04 06:58:18 GMT 2025","passed","Mon Aug 04 06:58:19 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"Verify that the added item's amount to the cart is not lost after logout and re-login actions","1959","cartPersistAfterLogOut()","","Mon Aug 04 06:57:47 GMT 2025","passed","Mon Aug 04 06:57:49 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","cartPersistAfterLogOut"
"","1327","cancelFromOverviewPage()","","Mon Aug 04 06:58:16 GMT 2025","passed","Mon Aug 04 06:58:17 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
