"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","967","sortProductsByNameDescending()","","Fri Jul 11 14:17:17 GMT 2025","passed","Fri Jul 11 14:17:18 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"Verify that removing one item updates the cart correctly","1170","removeOneItemFromCart()","","Fri Jul 11 14:17:11 GMT 2025","passed","Fri Jul 11 14:17:12 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","990","addMultipleItemsToCart()","","Fri Jul 11 14:17:19 GMT 2025","passed","Fri Jul 11 14:17:20 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","2263","totalPriceWithTaxIsCalculatedCorrectly()","","Fri Jul 11 14:17:12 GMT 2025","passed","Fri Jul 11 14:17:14 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","1545","cancelFromOverviewPage()","","Fri Jul 11 14:17:06 GMT 2025","passed","Fri Jul 11 14:17:07 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","1442","Logout from application","","Fri Jul 11 14:17:25 GMT 2025","passed","Fri Jul 11 14:17:26 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","823","Unsuccessful login with locked user","","Fri Jul 11 14:17:23 GMT 2025","passed","Fri Jul 11 14:17:24 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"","949","sortProductsByPriceAscending()","","Fri Jul 11 14:17:20 GMT 2025","passed","Fri Jul 11 14:17:21 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","844","Successful login with valid credentials","","Fri Jul 11 14:17:22 GMT 2025","passed","Fri Jul 11 14:17:23 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","888","Add item to cart and check badge","","Fri Jul 11 14:17:24 GMT 2025","passed","Fri Jul 11 14:17:25 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","831","enteringSQLinjectionInUsername()","","Fri Jul 11 14:17:29 GMT 2025","passed","Fri Jul 11 14:17:30 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","951","productDetailsView()","","Fri Jul 11 14:17:18 GMT 2025","passed","Fri Jul 11 14:17:19 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","985","Navigate to the cart page","","Fri Jul 11 14:17:07 GMT 2025","passed","Fri Jul 11 14:17:08 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","1373","fullPurchaseFlow()","","Fri Jul 11 14:17:15 GMT 2025","passed","Fri Jul 11 14:17:17 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","895","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Fri Jul 11 14:17:21 GMT 2025","passed","Fri Jul 11 14:17:21 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","1184","Remove item from cart","","Fri Jul 11 14:17:08 GMT 2025","passed","Fri Jul 11 14:17:09 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","1009","logoAndHeaderVisibility()","","Fri Jul 11 14:16:53 GMT 2025","passed","Fri Jul 11 14:16:54 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","1136","longValueInUsernameField()","","Fri Jul 11 14:17:28 GMT 2025","passed","Fri Jul 11 14:17:29 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","1037","Check presence of product list after login","","Fri Jul 11 14:17:26 GMT 2025","passed","Fri Jul 11 14:17:27 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","1642","proceedToCheckoutStep2()","","Fri Jul 11 14:17:03 GMT 2025","passed","Fri Jul 11 14:17:04 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","956","backFromPDPtoPLP()","","Fri Jul 11 14:17:21 GMT 2025","passed","Fri Jul 11 14:17:22 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","678","Unsuccessful login with empty fields","","Fri Jul 11 14:16:56 GMT 2025","passed","Fri Jul 11 14:16:57 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","1330","cartStatePersistsAcrossNavigation()","","Fri Jul 11 14:17:09 GMT 2025","passed","Fri Jul 11 14:17:11 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","874","Unsuccessful login with non-existent user","","Fri Jul 11 14:16:55 GMT 2025","passed","Fri Jul 11 14:16:56 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","1224","proceedToCheckout()","","Fri Jul 11 14:17:04 GMT 2025","passed","Fri Jul 11 14:17:06 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","860","loginWithSpacesInUsernameBeforeAndAfter()","","Fri Jul 11 14:17:27 GMT 2025","passed","Fri Jul 11 14:17:28 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","15616","browserWindowResizing()","","Fri Jul 11 14:16:37 GMT 2025","passed","Fri Jul 11 14:16:53 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","1209","buttonStateChangeOnInteraction()","","Fri Jul 11 14:16:54 GMT 2025","passed","Fri Jul 11 14:16:55 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","1160","checkoutFormValidation()","","Fri Jul 11 14:17:14 GMT 2025","passed","Fri Jul 11 14:17:15 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","5878","Successful login as performance glitch user","","Fri Jul 11 14:16:57 GMT 2025","passed","Fri Jul 11 14:17:03 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
