"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","932","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Fri Aug 01 09:35:43 GMT 2025","passed","Fri Aug 01 09:35:44 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","2520","totalPriceWithTaxIsCalculatedCorrectly()","","Fri Aug 01 09:35:45 GMT 2025","passed","Fri Aug 01 09:35:47 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","975","sortProductsByNameDescending()","","Fri Aug 01 09:35:39 GMT 2025","passed","Fri Aug 01 09:35:40 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","921","Navigate to the cart page","","Fri Aug 01 09:35:59 GMT 2025","passed","Fri Aug 01 09:36:00 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","862","logoAndHeaderVisibility()","","Fri Aug 01 09:36:09 GMT 2025","passed","Fri Aug 01 09:36:10 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","14600","Successful login with valid credentials","","Fri Aug 01 09:35:16 GMT 2025","passed","Fri Aug 01 09:35:31 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","1110","cartStatePersistsAcrossNavigation()","","Fri Aug 01 09:35:50 GMT 2025","passed","Fri Aug 01 09:35:51 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"Verify that removing one item updates the cart correctly","1122","removeOneItemFromCart()","","Fri Aug 01 09:35:51 GMT 2025","passed","Fri Aug 01 09:35:52 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","983","productDetailsView()","","Fri Aug 01 09:35:40 GMT 2025","passed","Fri Aug 01 09:35:41 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","1088","proceedToCheckout()","","Fri Aug 01 09:36:03 GMT 2025","passed","Fri Aug 01 09:36:04 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","1150","Remove item from cart","","Fri Aug 01 09:36:00 GMT 2025","passed","Fri Aug 01 09:36:01 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","1023","browserWindowResizing()","","Fri Aug 01 09:36:08 GMT 2025","passed","Fri Aug 01 09:36:09 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","1130","buttonStateChangeOnInteraction()","","Fri Aug 01 09:36:10 GMT 2025","passed","Fri Aug 01 09:36:11 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"Verify that you can remove items from the Cart via Inventory page","1139","removeFromCartViaInventoryPage()","","Fri Aug 01 09:35:38 GMT 2025","passed","Fri Aug 01 09:35:39 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
