"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1131","Navigate to the cart page","","Fri Aug 01 09:20:07 GMT 2025","passed","Fri Aug 01 09:20:08 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","1765","Logout from application","","Fri Aug 01 09:19:37 GMT 2025","passed","Fri Aug 01 09:19:39 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","1152","Add item to cart and check badge","","Fri Aug 01 09:19:36 GMT 2025","passed","Fri Aug 01 09:19:37 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","6054","Successful login as performance glitch user","","Fri Aug 01 09:20:01 GMT 2025","passed","Fri Aug 01 09:20:07 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","1191","sortProductsByNameDescending()","","Fri Aug 01 09:19:44 GMT 2025","passed","Fri Aug 01 09:19:45 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","1376","longValueInUsernameField()","","Fri Aug 01 09:20:15 GMT 2025","passed","Fri Aug 01 09:20:16 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","2836","totalPriceWithTaxIsCalculatedCorrectly()","","Fri Aug 01 09:19:51 GMT 2025","passed","Fri Aug 01 09:19:53 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","1197","Unsuccessful login with locked user","","Fri Aug 01 09:19:35 GMT 2025","passed","Fri Aug 01 09:19:36 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"Verify that you can remove items from the Cart via Inventory page","1366","removeFromCartViaInventoryPage()","","Fri Aug 01 09:19:42 GMT 2025","passed","Fri Aug 01 09:19:44 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
"","1137","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Fri Aug 01 09:19:48 GMT 2025","passed","Fri Aug 01 09:19:49 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
