"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","900","Add item to cart and check badge","","Fri Aug 01 09:44:53 GMT 2025","passed","Fri Aug 01 09:44:54 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","942","sortProductsByNameDescending()","","Fri Aug 01 09:44:59 GMT 2025","passed","Fri Aug 01 09:45:00 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","5803","Successful login as performance glitch user","","Fri Aug 01 09:45:14 GMT 2025","passed","Fri Aug 01 09:45:19 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"Verify that you can remove items from the Cart via Inventory page","1097","removeFromCartViaInventoryPage()","","Fri Aug 01 09:44:58 GMT 2025","passed","Fri Aug 01 09:44:59 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
"","950","sortProductsByPriceAscending()","","Fri Aug 01 09:45:02 GMT 2025","passed","Fri Aug 01 09:45:03 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","9756","Successful login with valid credentials","","Fri Aug 01 09:44:42 GMT 2025","passed","Fri Aug 01 09:44:52 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","991","Remove item from cart","","Fri Aug 01 09:45:20 GMT 2025","passed","Fri Aug 01 09:45:21 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"Verify that removing one item updates the cart correctly","1082","removeOneItemFromCart()","","Fri Aug 01 09:45:11 GMT 2025","passed","Fri Aug 01 09:45:12 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","928","backFromPDPtoPLP()","","Fri Aug 01 09:45:04 GMT 2025","passed","Fri Aug 01 09:45:05 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","1229","buttonStateChangeOnInteraction()","","Fri Aug 01 09:45:29 GMT 2025","passed","Fri Aug 01 09:45:30 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","791","Unsuccessful login with non-existent user","","Fri Aug 01 09:45:12 GMT 2025","passed","Fri Aug 01 09:45:13 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
