"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","795","Unsuccessful login with empty fields","","Mon Aug 04 11:53:21 GMT 2025","passed","Mon Aug 04 11:53:22 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"Verify that removing one item updates the cart correctly","1232","removeOneItemFromCart()","","Mon Aug 04 11:53:19 GMT 2025","passed","Mon Aug 04 11:53:20 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","1500","proceedToCheckoutStep2()","","Mon Aug 04 11:53:30 GMT 2025","passed","Mon Aug 04 11:53:32 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"Verify that the added item's amount to the cart is not lost after logout and re-login actions","2051","cartPersistAfterLogOut()","","Mon Aug 04 11:53:02 GMT 2025","passed","Mon Aug 04 11:53:04 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","cartPersistAfterLogOut"
"","967","loginWithSpacesInUsernameBeforeAndAfter()","","Mon Aug 04 11:53:35 GMT 2025","passed","Mon Aug 04 11:53:36 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","1021","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Mon Aug 04 11:53:10 GMT 2025","passed","Mon Aug 04 11:53:11 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","1098","Navigate to the cart page","","Mon Aug 04 11:53:28 GMT 2025","passed","Mon Aug 04 11:53:29 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","1319","cartStatePersistsAcrossNavigation()","","Mon Aug 04 11:53:18 GMT 2025","passed","Mon Aug 04 11:53:19 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","949","enteringSQLinjectionInUsername()","","Mon Aug 04 11:53:37 GMT 2025","passed","Mon Aug 04 11:53:38 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","1502","cancelFromOverviewPage()","","Mon Aug 04 11:53:33 GMT 2025","passed","Mon Aug 04 11:53:35 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","1245","longValueInUsernameField()","","Mon Aug 04 11:53:36 GMT 2025","passed","Mon Aug 04 11:53:37 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","6042","Successful login as performance glitch user","","Mon Aug 04 11:53:22 GMT 2025","passed","Mon Aug 04 11:53:28 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
