"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","904","loginWithSpacesInUsernameBeforeAndAfter()","","Fri Jul 11 14:29:05 GMT 2025","passed","Fri Jul 11 14:29:06 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","1025","sortProductsByPriceAscending()","","Fri Jul 11 14:28:57 GMT 2025","passed","Fri Jul 11 14:28:58 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","1194","longValueInUsernameField()","","Fri Jul 11 14:29:06 GMT 2025","passed","Fri Jul 11 14:29:07 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","1205","checkoutFormValidation()","","Fri Jul 11 14:28:51 GMT 2025","passed","Fri Jul 11 14:28:52 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","956","Add item to cart and check badge","","Fri Jul 11 14:29:02 GMT 2025","passed","Fri Jul 11 14:29:03 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","1005","productDetailsView()","","Fri Jul 11 14:28:55 GMT 2025","passed","Fri Jul 11 14:28:56 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","1044","backFromPDPtoPLP()","","Fri Jul 11 14:28:59 GMT 2025","passed","Fri Jul 11 14:29:00 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","11366","browserWindowResizing()","","Fri Jul 11 14:28:17 GMT 2025","passed","Fri Jul 11 14:28:29 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","1501","Logout from application","","Fri Jul 11 14:29:03 GMT 2025","passed","Fri Jul 11 14:29:04 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","1096","logoAndHeaderVisibility()","","Fri Jul 11 14:28:29 GMT 2025","passed","Fri Jul 11 14:28:30 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
