"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1633","proceedToCheckoutStep2()","","Wed Jul 09 14:26:51 GMT 2025","passed","Wed Jul 09 14:26:52 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","837","enteringSQLinjectionInUsername()","","Wed Jul 09 14:27:17 GMT 2025","passed","Wed Jul 09 14:27:17 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","903","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Wed Jul 09 14:27:08 GMT 2025","passed","Wed Jul 09 14:27:09 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","959","sortProductsByNameDescending()","","Wed Jul 09 14:27:04 GMT 2025","passed","Wed Jul 09 14:27:05 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","2232","totalPriceWithTaxIsCalculatedCorrectly()","","Wed Jul 09 14:26:59 GMT 2025","passed","Wed Jul 09 14:27:01 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","3130","browserWindowResizing()","","Wed Jul 09 14:26:38 GMT 2025","passed","Wed Jul 09 14:26:41 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","1452","Logout from application","","Wed Jul 09 14:27:12 GMT 2025","passed","Wed Jul 09 14:27:14 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","969","backFromPDPtoPLP()","","Wed Jul 09 14:27:09 GMT 2025","passed","Wed Jul 09 14:27:10 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","1003","Check presence of product list after login","","Wed Jul 09 14:27:14 GMT 2025","passed","Wed Jul 09 14:27:15 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","1144","checkoutFormValidation()","","Wed Jul 09 14:27:01 GMT 2025","passed","Wed Jul 09 14:27:02 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","1202","proceedToCheckout()","","Wed Jul 09 14:26:52 GMT 2025","passed","Wed Jul 09 14:26:53 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","989","addMultipleItemsToCart()","","Wed Jul 09 14:27:06 GMT 2025","passed","Wed Jul 09 14:27:07 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","1154","longValueInUsernameField()","","Wed Jul 09 14:27:15 GMT 2025","passed","Wed Jul 09 14:27:17 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","885","Navigate to the cart page","","Wed Jul 09 14:26:55 GMT 2025","passed","Wed Jul 09 14:26:56 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","824","loginWithSpacesInUsernameBeforeAndAfter()","","Wed Jul 09 14:27:15 GMT 2025","passed","Wed Jul 09 14:27:15 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","1423","cancelFromOverviewPage()","","Wed Jul 09 14:26:53 GMT 2025","passed","Wed Jul 09 14:26:55 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","838","Successful login with valid credentials","","Wed Jul 09 14:27:10 GMT 2025","passed","Wed Jul 09 14:27:10 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","1172","cartStatePersistsAcrossNavigation()","","Wed Jul 09 14:26:57 GMT 2025","passed","Wed Jul 09 14:26:58 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","717","Unsuccessful login with empty fields","","Wed Jul 09 14:26:44 GMT 2025","passed","Wed Jul 09 14:26:45 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","1051","Remove item from cart","","Wed Jul 09 14:26:56 GMT 2025","passed","Wed Jul 09 14:26:57 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","843","Unsuccessful login with non-existent user","","Wed Jul 09 14:26:43 GMT 2025","passed","Wed Jul 09 14:26:44 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","1219","buttonStateChangeOnInteraction()","","Wed Jul 09 14:26:42 GMT 2025","passed","Wed Jul 09 14:26:43 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","5873","Successful login as performance glitch user","","Wed Jul 09 14:26:45 GMT 2025","passed","Wed Jul 09 14:26:51 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","1347","fullPurchaseFlow()","","Wed Jul 09 14:27:03 GMT 2025","passed","Wed Jul 09 14:27:04 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","985","sortProductsByPriceAscending()","","Wed Jul 09 14:27:07 GMT 2025","passed","Wed Jul 09 14:27:08 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","980","logoAndHeaderVisibility()","","Wed Jul 09 14:26:41 GMT 2025","passed","Wed Jul 09 14:26:42 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","933","productDetailsView()","","Wed Jul 09 14:27:05 GMT 2025","passed","Wed Jul 09 14:27:06 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"","827","Unsuccessful login with locked user","","Wed Jul 09 14:27:10 GMT 2025","passed","Wed Jul 09 14:27:11 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"Verify that removing one item updates the cart correctly","1144","removeOneItemFromCart()","","Wed Jul 09 14:26:58 GMT 2025","passed","Wed Jul 09 14:26:59 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","909","Add item to cart and check badge","","Wed Jul 09 14:27:11 GMT 2025","passed","Wed Jul 09 14:27:12 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
