"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1065","browserWindowResizing()","","Fri Aug 01 11:42:58 GMT 2025","passed","Fri Aug 01 11:42:59 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"Verify that removing one item updates the cart correctly","1262","removeOneItemFromCart()","","Fri Aug 01 11:42:38 GMT 2025","passed","Fri Aug 01 11:42:40 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","1025","logoAndHeaderVisibility()","","Fri Aug 01 11:42:59 GMT 2025","passed","Fri Aug 01 11:43:00 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"Verify that you can remove items from the Cart via Inventory page","1291","removeFromCartViaInventoryPage()","","Fri Aug 01 11:42:24 GMT 2025","passed","Fri Aug 01 11:42:25 GMT 2025","","com.automation.tests.OtherTests","com.automation.tests.OtherTests","removeFromCartViaInventoryPage"
"","1276","checkoutFormValidation()","","Fri Aug 01 11:42:34 GMT 2025","passed","Fri Aug 01 11:42:36 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","1156","Check presence of product list after login","","Fri Aug 01 11:42:21 GMT 2025","passed","Fri Aug 01 11:42:22 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","1285","longValueInUsernameField()","","Fri Aug 01 11:42:55 GMT 2025","passed","Fri Aug 01 11:42:57 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","1485","fullPurchaseFlow()","","Fri Aug 01 11:42:36 GMT 2025","passed","Fri Aug 01 11:42:37 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
"","1346","Remove item from cart","","Fri Aug 01 11:42:49 GMT 2025","passed","Fri Aug 01 11:42:50 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","1088","Add item to cart and check badge","","Fri Aug 01 11:42:18 GMT 2025","passed","Fri Aug 01 11:42:19 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
