"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1230","cartStatePersistsAcrossNavigation()","","Thu Jul 10 14:57:20 GMT 2025","passed","Thu Jul 10 14:57:21 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","cartStatePersistsAcrossNavigation"
"","959","Navigate to the cart page","","Thu Jul 10 14:57:18 GMT 2025","passed","Thu Jul 10 14:57:18 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","navigateToCartPage"
"","1034","sortProductsByNameDescending()","","Thu Jul 10 14:57:27 GMT 2025","passed","Thu Jul 10 14:57:28 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByNameDescending"
"","908","loginWithSpacesInUsernameBeforeAndAfter()","","Thu Jul 10 14:57:39 GMT 2025","passed","Thu Jul 10 14:57:40 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","loginWithSpacesInUsernameBeforeAndAfter"
"","1301","buttonStateChangeOnInteraction()","","Thu Jul 10 14:57:04 GMT 2025","passed","Thu Jul 10 14:57:06 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","buttonStateChangeOnInteraction"
"","1188","proceedToCheckout()","","Thu Jul 10 14:57:15 GMT 2025","passed","Thu Jul 10 14:57:16 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckout"
"","1060","logoAndHeaderVisibility()","","Thu Jul 10 14:57:03 GMT 2025","passed","Thu Jul 10 14:57:04 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","logoAndHeaderVisibility"
"","998","sortProductsByPriceAscending()","","Thu Jul 10 14:57:30 GMT 2025","passed","Thu Jul 10 14:57:31 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","sortProductsByPriceAscending"
"","1004","backFromPDPtoPLP()","","Thu Jul 10 14:57:32 GMT 2025","passed","Thu Jul 10 14:57:33 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLP"
"","15284","browserWindowResizing()","","Thu Jul 10 14:56:48 GMT 2025","passed","Thu Jul 10 14:57:03 GMT 2025","","com.automation.tests.uiUX.UiUxTests","com.automation.tests.uiUX.UiUxTests","browserWindowResizing"
"","908","enteringSQLinjectionInUsername()","","Thu Jul 10 14:57:41 GMT 2025","passed","Thu Jul 10 14:57:42 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","enteringSQLinjectionInUsername"
"","866","Unsuccessful login with locked user","","Thu Jul 10 14:57:34 GMT 2025","passed","Thu Jul 10 14:57:35 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","unsuccessfulLoginWithLockedUser"
"","938","Unsuccessful login with non-existent user","","Thu Jul 10 14:57:06 GMT 2025","passed","Thu Jul 10 14:57:07 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithNonExistentUser"
"","1068","addMultipleItemsToCart()","","Thu Jul 10 14:57:29 GMT 2025","passed","Thu Jul 10 14:57:30 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","addMultipleItemsToCart"
"","1210","checkoutFormValidation()","","Thu Jul 10 14:57:25 GMT 2025","passed","Thu Jul 10 14:57:26 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","checkoutFormValidation"
"","965","backFromPDPtoPLPbyUsingBrowserBackBtn()","","Thu Jul 10 14:57:31 GMT 2025","passed","Thu Jul 10 14:57:32 GMT 2025","","com.automation.tests.functional.FunctionalNavigationTests","com.automation.tests.functional.FunctionalNavigationTests","backFromPDPtoPLPbyUsingBrowserBackBtn"
"","1161","Remove item from cart","","Thu Jul 10 14:57:18 GMT 2025","passed","Thu Jul 10 14:57:20 GMT 2025","","com.automation.tests.sanity.SanityCartTests","com.automation.tests.sanity.SanityCartTests","removeItemFromCart"
"","1073","Check presence of product list after login","","Thu Jul 10 14:57:38 GMT 2025","passed","Thu Jul 10 14:57:39 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","checkProductListPresenceAfterLogin"
"","5941","Successful login as performance glitch user","","Thu Jul 10 14:57:07 GMT 2025","passed","Thu Jul 10 14:57:13 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","successfulLoginAsPerformanceGlitchUser"
"","950","Add item to cart and check badge","","Thu Jul 10 14:57:35 GMT 2025","passed","Thu Jul 10 14:57:36 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","addItemToCartAndCheckBadge"
"","1469","cancelFromOverviewPage()","","Thu Jul 10 14:57:16 GMT 2025","passed","Thu Jul 10 14:57:18 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","cancelFromOverviewPage"
"","1206","longValueInUsernameField()","","Thu Jul 10 14:57:40 GMT 2025","passed","Thu Jul 10 14:57:41 GMT 2025","","com.automation.tests.negativeTests.NegativeTests","com.automation.tests.negativeTests.NegativeTests","longValueInUsernameField"
"","2387","totalPriceWithTaxIsCalculatedCorrectly()","","Thu Jul 10 14:57:22 GMT 2025","passed","Thu Jul 10 14:57:25 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","totalPriceWithTaxIsCalculatedCorrectly"
"","1526","Logout from application","","Thu Jul 10 14:57:36 GMT 2025","passed","Thu Jul 10 14:57:38 GMT 2025","","com.automation.tests.smoke.SmokeInventoryTests","com.automation.tests.smoke.SmokeInventoryTests","logoutFromTheWebsite"
"","888","Successful login with valid credentials","","Thu Jul 10 14:57:33 GMT 2025","passed","Thu Jul 10 14:57:34 GMT 2025","","com.automation.tests.smoke.SmokeLoginTests","com.automation.tests.smoke.SmokeLoginTests","successfulLoginTest"
"","772","Unsuccessful login with empty fields","","Thu Jul 10 14:57:07 GMT 2025","passed","Thu Jul 10 14:57:07 GMT 2025","","com.automation.tests.sanity.SanityLoginTests","com.automation.tests.sanity.SanityLoginTests","unsuccessfulLoginWithEmptyFields"
"","1028","productDetailsView()","","Thu Jul 10 14:57:28 GMT 2025","passed","Thu Jul 10 14:57:29 GMT 2025","","com.automation.tests.functional.FunctionalInventoryTests","com.automation.tests.functional.FunctionalInventoryTests","productDetailsView"
"Verify that removing one item updates the cart correctly","1275","removeOneItemFromCart()","","Thu Jul 10 14:57:21 GMT 2025","passed","Thu Jul 10 14:57:22 GMT 2025","","com.automation.tests.functional.FunctionalCartTests","com.automation.tests.functional.FunctionalCartTests","removeOneItemFromCart"
"","1550","proceedToCheckoutStep2()","","Thu Jul 10 14:57:13 GMT 2025","passed","Thu Jul 10 14:57:15 GMT 2025","","com.automation.tests.sanity.SanityCheckoutTests","com.automation.tests.sanity.SanityCheckoutTests","proceedToCheckoutStep2"
"","1436","fullPurchaseFlow()","","Thu Jul 10 14:57:26 GMT 2025","passed","Thu Jul 10 14:57:27 GMT 2025","","com.automation.tests.functional.FunctionalCheckoutFlowTests","com.automation.tests.functional.FunctionalCheckoutFlowTests","fullPurchaseFlow"
